article_id,title,user_id
1162,analyze energy consumption in buildings,40
1164,analyze open data sets with pandas dataframes,14
409,using github for project control in dsx,23
173,"10 must attend data science, ml and ai conferences in 2018",60
1393,the nurse assignment problem,21
977,apache spark as the new engine of genomics,11
930,how to use version control (github) in rstudio within dsx?,61
1314,healthcare python streaming application demo,62
1330,insights from new york car accident reports,32
1360,pixieapp for outlier detection,46
1053,access mysql with python,36
1162,analyze energy consumption in buildings,36
1314,healthcare python streaming application demo,32
695,excel files: loading from object storage — python,63
730,developing for the ibm streaming analytics service,55
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",41
586,building a business that combines human experts and data science,64
1338,ml optimization using cognitive assistant,33
1052,access db2 warehouse on cloud and db2 with python,14
1330,insights from new york car accident reports,4
1432,visualize data with the matplotlib library,65
1393,the nurse assignment problem,66
943,discover hidden facebook usage insights,33
1338,ml optimization using cognitive assistant,67
310,time series prediction using recurrent neural networks (lstms),68
1364,predicting churn with the spss random tree algorithm,69
1314,healthcare python streaming application demo,64
131,simple graphing with ipython and pandas,14
173,"10 must attend data science, ml and ai conferences in 2018",49
173,"10 must attend data science, ml and ai conferences in 2018",52
50,graph-based machine learning,70
1162,analyze energy consumption in buildings,33
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",71
1157,airbnb data for analytics: washington d.c. listings,45
1411,uci: white wine quality,72
1351,model bike sharing data with spss,5
962,data visualization with r: scrum metrics,73
1189,contraceptive prevalence (% women 15-49) by country,74
1431,visualize car data with brunel,28
1053,access mysql with python,75
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",34
1429,use deep learning for image classification,6
359,optimizing a marketing campaign: moving from predictions to actions,28
1276,deploy your python model as a restful api,8
1360,pixieapp for outlier detection,76
1431,visualize car data with brunel,33
1305,gosales transactions for naive bayes model,2
1165,analyze precipitation data,48
1165,analyze precipitation data,77
1431,visualize car data with brunel,28
593,upload files to ibm data science experience using the command line,78
50,graph-based machine learning,70
1059,airbnb data for analytics: amsterdam calendar,63
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",79
173,"10 must attend data science, ml and ai conferences in 2018",80
1338,ml optimization using cognitive assistant,81
1185,classify tumors with machine learning,82
1436,welcome to pixiedust,56
173,"10 must attend data science, ml and ai conferences in 2018",48
1293,finding optimal locations of new store using decision optimization,75
1163,analyze open data sets with spark & pixiedust,8
1293,finding optimal locations of new store using decision optimization,75
1330,insights from new york car accident reports,4
1160,analyze accident reports on amazon emr spark,25
788,quick guide to build a recommendation engine in python,83
1359,percentage of internet users by country,45
1432,visualize data with the matplotlib library,16
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",32
1160,analyze accident reports on amazon emr spark,27
898,neural language modeling from scratch (part 1),8
1160,analyze accident reports on amazon emr spark,56
1423,use sql with data in hadoop python,49
270,learning statistics on youtube,84
302,accelerate your workflow with dsx,8
1328,income (2015): united states demographic measures,85
1333,interest rates,24
1314,healthcare python streaming application demo,18
1166,analyzing data by using the sparkling.data library features,5
1174,breast cancer wisconsin (diagnostic) data set,32
1276,deploy your python model as a restful api,63
785,interactive time series with dygraphs,86
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",71
1162,analyze energy consumption in buildings,36
1293,finding optimal locations of new store using decision optimization,87
1436,welcome to pixiedust,6
1313,health insurance (2015): united states demographic measures,88
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",21
1170,"apache spark lab, part 1: basic concepts",89
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",4
667,imitation learning in tensorflow (hopper from openai gym),90
1320,housing (2015): united states demographic measures,91
1338,ml optimization using cognitive assistant,92
1432,visualize data with the matplotlib library,93
528,10 tips on using jupyter notebook,94
1338,ml optimization using cognitive assistant,95
943,discover hidden facebook usage insights,52
695,excel files: loading from object storage — python,8
1314,healthcare python streaming application demo,8
1162,analyze energy consumption in buildings,96
460,web picks - dataminingapps,9
1338,ml optimization using cognitive assistant,92
173,"10 must attend data science, ml and ai conferences in 2018",8
1338,ml optimization using cognitive assistant,88
1228,country statistics: infant mortality rate,74
1422,use r dataframes & ibm watson natural language understanding,97
1431,visualize car data with brunel,56
1314,healthcare python streaming application demo,6
1305,gosales transactions for naive bayes model,35
173,"10 must attend data science, ml and ai conferences in 2018",98
1431,visualize car data with brunel,99
1330,insights from new york car accident reports,10
1360,pixieapp for outlier detection,100
1349,"mobile-cellular telephone subscriptions per 100 inhabitants, worldwide",24
1326,improved water source by country: % population with access,24
693,better together: spss and data science experience,57
887,"502    forgetting the past to learn the future: long ...
Name: title, dtype: object",50
593,upload files to ibm data science experience using the command line,101
1169,annual precipitation by country 1990-2009,77
1052,access db2 warehouse on cloud and db2 with python,8
173,"10 must attend data science, ml and ai conferences in 2018",102
173,"10 must attend data science, ml and ai conferences in 2018",103
1360,pixieapp for outlier detection,40
1162,analyze energy consumption in buildings,25
1432,visualize data with the matplotlib library,104
108,"520    using notebooks with pixiedust for fast, flexi...
Name: title, dtype: object",105
1162,analyze energy consumption in buildings,53
1351,model bike sharing data with spss,5
1160,analyze accident reports on amazon emr spark,4
302,accelerate your workflow with dsx,23
1331,"intentional homicide, number and rate per 100,000 population, by country",106
1296,fortune 100 companies,45
151,jupyter notebook tutorial,41
1320,housing (2015): united states demographic measures,107
1276,deploy your python model as a restful api,64
1165,analyze precipitation data,78
1315,high-tech exports as % of manufactured exports by country,24
1293,finding optimal locations of new store using decision optimization,26
1338,ml optimization using cognitive assistant,64
1314,healthcare python streaming application demo,51
485,a moving average trading strategy,13
1052,access db2 warehouse on cloud and db2 with python,14
1324,ibm watson facebook posts for 2015,97
1280,education (2015): united states demographic measures,108
1431,visualize car data with brunel,94
173,"10 must attend data science, ml and ai conferences in 2018",109
645,how to perform a logistic regression in r,41
124,python machine learning: scikit-learn tutorial,71
1162,analyze energy consumption in buildings,25
1052,access db2 warehouse on cloud and db2 with python,14
173,"10 must attend data science, ml and ai conferences in 2018",110
1328,income (2015): united states demographic measures,107
1293,finding optimal locations of new store using decision optimization,28
1431,visualize car data with brunel,87
943,discover hidden facebook usage insights,53
1162,analyze energy consumption in buildings,4
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",111
1305,gosales transactions for naive bayes model,112
1191,country statistics - europe - population and society,113
1276,deploy your python model as a restful api,82
173,"10 must attend data science, ml and ai conferences in 2018",114
409,using github for project control in dsx,23
1343,maximize oil company profits,115
1160,analyze accident reports on amazon emr spark,26
1360,pixieapp for outlier detection,52
1351,model bike sharing data with spss,27
1431,visualize car data with brunel,56
1163,analyze open data sets with spark & pixiedust,58
173,"10 must attend data science, ml and ai conferences in 2018",116
1320,housing (2015): united states demographic measures,117
1162,analyze energy consumption in buildings,25
1276,deploy your python model as a restful api,118
1422,use r dataframes & ibm watson natural language understanding,33
189,common excel tasks demonstrated in pandas,14
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",1
221,how smart catalogs can turn the big data flood into an ocean of opportunity,60
593,upload files to ibm data science experience using the command line,78
43,deep learning with tensorflow course by big data university,24
164,learn tensorflow and deep learning together and now!,24
695,excel files: loading from object storage — python,78
528,10 tips on using jupyter notebook,8
1184,"city population by sex, city and city type",119
1330,insights from new york car accident reports,120
302,accelerate your workflow with dsx,8
1184,"city population by sex, city and city type",106
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",121
1171,"apache spark lab, part 2: querying data",10
1320,housing (2015): united states demographic measures,122
692,15 page tutorial for r,41
943,discover hidden facebook usage insights,52
1429,use deep learning for image classification,7
1432,visualize data with the matplotlib library,123
865,analyze traffic data from the city of san francisco,32
667,imitation learning in tensorflow (hopper from openai gym),90
1263,country statistics: unemployment rate,45
316,"leverage python, scikit, and text classification for behavioral profiling",35
1185,classify tumors with machine learning,122
1162,analyze energy consumption in buildings,25
173,"10 must attend data science, ml and ai conferences in 2018",124
1172,"apache spark lab, part 3: machine learning",125
1054,access mysql with r,37
930,how to use version control (github) in rstudio within dsx?,63
1351,model bike sharing data with spss,5
1360,pixieapp for outlier detection,96
400,read and write data to and from amazon s3 buckets in rstudio,126
1052,access db2 warehouse on cloud and db2 with python,14
680,how the circle line rogue train was caught with data,94
1431,visualize car data with brunel,6
1428,use decision optimization to schedule league games,13
1429,use deep learning for image classification,87
1162,analyze energy consumption in buildings,25
1162,analyze energy consumption in buildings,127
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",58
1293,finding optimal locations of new store using decision optimization,92
1162,analyze energy consumption in buildings,21
1338,ml optimization using cognitive assistant,65
1324,ibm watson facebook posts for 2015,45
593,upload files to ibm data science experience using the command line,14
1432,visualize data with the matplotlib library,128
1155,airbnb data for analytics: vienna reviews,45
173,"10 must attend data science, ml and ai conferences in 2018",107
528,10 tips on using jupyter notebook,8
1304,gosales transactions for logistic regression model,16
1225,country statistics: health expenditures,74
1338,ml optimization using cognitive assistant,117
844,use the cloudant-spark connector in python notebook,86
1174,breast cancer wisconsin (diagnostic) data set,10
1320,housing (2015): united states demographic measures,122
33,using brunel in ipython/jupyter notebooks,28
1162,analyze energy consumption in buildings,75
1360,pixieapp for outlier detection,129
460,web picks - dataminingapps,60
1330,insights from new york car accident reports,34
1052,access db2 warehouse on cloud and db2 with python,14
1400,uci ml repository: chronic kidney disease data set,57
43,deep learning with tensorflow course by big data university,28
1169,annual precipitation by country 1990-2009,44
871,overfitting in machine learning: what it is and how to prevent it,50
1164,analyze open data sets with pandas dataframes,14
813,generative adversarial networks (gans),130
1429,use deep learning for image classification,87
1164,analyze open data sets with pandas dataframes,14
468,what is hadoop?,49
1432,visualize data with the matplotlib library,123
173,"10 must attend data science, ml and ai conferences in 2018",48
1320,housing (2015): united states demographic measures,131
1425,use spark for r to load data and run sql queries,132
173,"10 must attend data science, ml and ai conferences in 2018",133
173,"10 must attend data science, ml and ai conferences in 2018",134
1395,the unit commitment problem,135
930,how to use version control (github) in rstudio within dsx?,61
1400,uci ml repository: chronic kidney disease data set,136
645,how to perform a logistic regression in r,11
1330,insights from new york car accident reports,137
373,working with notebooks in dsx,138
880,probabilistic graphical models tutorial — part 1 – stats and bots,139
1318,household consumption expenditure,140
18,the greatest public datasets for ai – startup grind,141
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",21
1338,ml optimization using cognitive assistant,142
1423,use sql with data in hadoop python,71
502,"this week in data science (august 02, 2016)",45
880,probabilistic graphical models tutorial — part 1 – stats and bots,143
1393,the nurse assignment problem,135
880,probabilistic graphical models tutorial — part 1 – stats and bots,144
173,"10 must attend data science, ml and ai conferences in 2018",145
1405,uci: heart disease - cleveland,146
1185,classify tumors with machine learning,24
1330,insights from new york car accident reports,3
1330,insights from new york car accident reports,147
1338,ml optimization using cognitive assistant,148
1400,uci ml repository: chronic kidney disease data set,40
486,use spark r to load and analyze data,149
1428,use decision optimization to schedule league games,135
1330,insights from new york car accident reports,147
1429,use deep learning for image classification,21
1160,analyze accident reports on amazon emr spark,144
1160,analyze accident reports on amazon emr spark,150
1171,"apache spark lab, part 2: querying data",151
173,"10 must attend data science, ml and ai conferences in 2018",152
880,probabilistic graphical models tutorial — part 1 – stats and bots,61
173,"10 must attend data science, ml and ai conferences in 2018",135
1332,intents & examples for ibm watson conversation,144
1393,the nurse assignment problem,153
1423,use sql with data in hadoop python,132
486,use spark r to load and analyze data,151
12,timeseries data analysis of iot events by using jupyter notebook,139
1400,uci ml repository: chronic kidney disease data set,22
521,learn about data science in world of watson,154
173,"10 must attend data science, ml and ai conferences in 2018",142
1338,ml optimization using cognitive assistant,155
1191,country statistics - europe - population and society,155
1400,uci ml repository: chronic kidney disease data set,156
14,got zip code data? prep it for analytics. – ibm watson data lab – medium,23
173,"10 must attend data science, ml and ai conferences in 2018",157
1172,"apache spark lab, part 3: machine learning",158
205,a beginner's guide to variational methods,140
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",131
1328,income (2015): united states demographic measures,131
1170,"apache spark lab, part 1: basic concepts",135
1356,occupation (2015): united states demographic measures,159
732,rapidly build machine learning flows with dsx,160
1423,use sql with data in hadoop python,132
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",146
1304,gosales transactions for logistic regression model,161
911,using machine learning to predict baseball injuries,162
1426,use spark for scala to load data and run sql queries,125
12,timeseries data analysis of iot events by using jupyter notebook,139
880,probabilistic graphical models tutorial — part 1 – stats and bots,134
865,analyze traffic data from the city of san francisco,32
943,discover hidden facebook usage insights,28
1314,healthcare python streaming application demo,163
1184,"city population by sex, city and city type",164
1338,ml optimization using cognitive assistant,165
1165,analyze precipitation data,98
1162,analyze energy consumption in buildings,17
880,probabilistic graphical models tutorial — part 1 – stats and bots,166
609,simple linear regression? do it the bayesian way,167
1338,ml optimization using cognitive assistant,48
1163,analyze open data sets with spark & pixiedust,140
278,deep learning trends and an example,45
1330,insights from new york car accident reports,147
1296,fortune 100 companies,168
202,analyze open data sets using pandas in a python notebook,169
1166,analyzing data by using the sparkling.data library features,58
785,interactive time series with dygraphs,139
164,learn tensorflow and deep learning together and now!,170
1423,use sql with data in hadoop python,60
1276,deploy your python model as a restful api,171
1360,pixieapp for outlier detection,166
486,use spark r to load and analyze data,137
173,"10 must attend data science, ml and ai conferences in 2018",172
1074,airbnb data for analytics: barcelona reviews,155
805,machine learning for everyone,173
111,tidy up your jupyter notebooks with scripts,174
939,deep learning from scratch i: computational graphs,139
880,probabilistic graphical models tutorial — part 1 – stats and bots,175
1293,finding optimal locations of new store using decision optimization,176
1320,housing (2015): united states demographic measures,131
720,data visualization playbook: telling the data story,177
29,experience iot with coursera,23
1293,finding optimal locations of new store using decision optimization,135
1320,housing (2015): united states demographic measures,131
460,web picks - dataminingapps,178
1293,finding optimal locations of new store using decision optimization,23
173,"10 must attend data science, ml and ai conferences in 2018",140
1351,model bike sharing data with spss,167
173,"10 must attend data science, ml and ai conferences in 2018",179
486,use spark r to load and analyze data,155
1185,classify tumors with machine learning,163
1320,housing (2015): united states demographic measures,180
1429,use deep learning for image classification,181
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",171
1393,the nurse assignment problem,66
221,how smart catalogs can turn the big data flood into an ocean of opportunity,182
1305,gosales transactions for naive bayes model,112
1042,use ibm data science experience to read and write data stored on amazon s3,183
1160,analyze accident reports on amazon emr spark,171
1330,insights from new york car accident reports,147
173,"10 must attend data science, ml and ai conferences in 2018",184
880,probabilistic graphical models tutorial — part 1 – stats and bots,185
1172,"apache spark lab, part 3: machine learning",125
1426,use spark for scala to load data and run sql queries,132
12,timeseries data analysis of iot events by using jupyter notebook,139
1162,analyze energy consumption in buildings,21
43,deep learning with tensorflow course by big data university,186
362,dsx: hybrid mode,58
1429,use deep learning for image classification,187
33,using brunel in ipython/jupyter notebooks,30
679,this week in data science,45
382,what is text analytics?,180
1314,healthcare python streaming application demo,188
521,learn about data science in world of watson,154
151,jupyter notebook tutorial,189
898,neural language modeling from scratch (part 1),190
1165,analyze precipitation data,191
542,getting started with python,192
1293,finding optimal locations of new store using decision optimization,193
1305,gosales transactions for naive bayes model,156
1400,uci ml repository: chronic kidney disease data set,156
1330,insights from new york car accident reports,147
173,"10 must attend data science, ml and ai conferences in 2018",194
651,analyzing streaming data from kafka topics,195
1398,total population by country,168
1368,putting a human face on machine learning,182
173,"10 must attend data science, ml and ai conferences in 2018",160
1280,education (2015): united states demographic measures,144
1314,healthcare python streaming application demo,188
844,use the cloudant-spark connector in python notebook,196
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",163
20,working interactively with rstudio and notebooks in dsx,197
1320,housing (2015): united states demographic measures,168
57,transfer learning for flight delay prediction via variational autoencoders,198
1429,use deep learning for image classification,23
1338,ml optimization using cognitive assistant,131
1394,the nurse assignment problem data,168
1403,uci: car evaluation,159
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",44
1293,finding optimal locations of new store using decision optimization,23
1165,analyze precipitation data,191
645,how to perform a logistic regression in r,137
1360,pixieapp for outlier detection,21
1431,visualize car data with brunel,199
1330,insights from new york car accident reports,171
1314,healthcare python streaming application demo,200
1364,predicting churn with the spss random tree algorithm,24
173,"10 must attend data science, ml and ai conferences in 2018",190
1436,welcome to pixiedust,201
880,probabilistic graphical models tutorial — part 1 – stats and bots,202
1314,healthcare python streaming application demo,171
930,how to use version control (github) in rstudio within dsx?,203
720,data visualization playbook: telling the data story,23
880,probabilistic graphical models tutorial — part 1 – stats and bots,160
1057,"adolescent fertility rate (births per 1,000 women ages 15-19), worldwide",203
542,getting started with python,192
164,learn tensorflow and deep learning together and now!,11
880,probabilistic graphical models tutorial — part 1 – stats and bots,204
732,rapidly build machine learning flows with dsx,139
109,tensorflow quick tips,170
1060,airbnb data for analytics: amsterdam listings,197
1320,housing (2015): united states demographic measures,131
43,deep learning with tensorflow course by big data university,11
173,"10 must attend data science, ml and ai conferences in 2018",205
68,an introduction to scientific python (and a bit of the maths behind it) – numpy,190
740,10 pieces of advice to beginner data scientists,140
1407,uci: poker hand - testing data set,206
164,learn tensorflow and deep learning together and now!,207
1304,gosales transactions for logistic regression model,23
1429,use deep learning for image classification,187
1314,healthcare python streaming application demo,58
1274,data model with streaming analytics and python,208
1328,income (2015): united states demographic measures,135
1314,healthcare python streaming application demo,163
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",44
1338,ml optimization using cognitive assistant,209
1293,finding optimal locations of new store using decision optimization,23
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",146
1048,"1357    what i learned implementing a classifier from ...
Name: title, dtype: object",210
1171,"apache spark lab, part 2: querying data",151
146,how to use db2 warehouse on cloud in data science experience notebooks,138
1368,putting a human face on machine learning,211
362,dsx: hybrid mode,178
1354,movie recommender system with spark machine learning,190
651,analyzing streaming data from kafka topics,195
362,dsx: hybrid mode,170
1351,model bike sharing data with spss,6
1328,income (2015): united states demographic measures,135
1324,ibm watson facebook posts for 2015,159
173,"10 must attend data science, ml and ai conferences in 2018",210
1330,insights from new york car accident reports,147
1393,the nurse assignment problem,66
1170,"apache spark lab, part 1: basic concepts",125
844,use the cloudant-spark connector in python notebook,212
1163,analyze open data sets with spark & pixiedust,140
310,time series prediction using recurrent neural networks (lstms),178
213,modeling energy usage in new york city,3
1314,healthcare python streaming application demo,213
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",155
1276,deploy your python model as a restful api,214
486,use spark r to load and analyze data,155
486,use spark r to load and analyze data,137
1351,model bike sharing data with spss,215
1320,housing (2015): united states demographic measures,159
939,deep learning from scratch i: computational graphs,45
1014,"1448    i ranked every intro to data science course on...
Name: title, dtype: object",204
1053,access mysql with python,212
1420,use apache systemml and spark for machine learning,158
68,an introduction to scientific python (and a bit of the maths behind it) – numpy,192
930,how to use version control (github) in rstudio within dsx?,216
1360,pixieapp for outlier detection,126
1162,analyze energy consumption in buildings,194
173,"10 must attend data science, ml and ai conferences in 2018",217
1330,insights from new york car accident reports,187
1338,ml optimization using cognitive assistant,218
1423,use sql with data in hadoop python,71
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",136
221,how smart catalogs can turn the big data flood into an ocean of opportunity,152
1160,analyze accident reports on amazon emr spark,107
1332,intents & examples for ibm watson conversation,21
732,rapidly build machine learning flows with dsx,219
1077,airbnb data for analytics: berlin reviews,155
1160,analyze accident reports on amazon emr spark,107
1320,housing (2015): united states demographic measures,220
933,workflow in r,155
1324,ibm watson facebook posts for 2015,28
1432,visualize data with the matplotlib library,177
1171,"apache spark lab, part 2: querying data",151
1422,use r dataframes & ibm watson natural language understanding,125
1398,total population by country,168
1360,pixieapp for outlier detection,209
173,"10 must attend data science, ml and ai conferences in 2018",10
1328,income (2015): united states demographic measures,131
486,use spark r to load and analyze data,221
1332,intents & examples for ibm watson conversation,222
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",98
1423,use sql with data in hadoop python,132
1170,"apache spark lab, part 1: basic concepts",223
1050,"jupyter notebooks with scala, python, or r kernels",192
1320,housing (2015): united states demographic measures,224
1420,use apache systemml and spark for machine learning,17
1328,income (2015): united states demographic measures,225
880,probabilistic graphical models tutorial — part 1 – stats and bots,157
1305,gosales transactions for naive bayes model,22
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",170
1181,car performance data,139
732,rapidly build machine learning flows with dsx,200
1393,the nurse assignment problem,190
1428,use decision optimization to schedule league games,135
1291,fertility rate by country in total births per woman,167
213,modeling energy usage in new york city,145
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",146
1328,income (2015): united states demographic measures,159
930,how to use version control (github) in rstudio within dsx?,185
173,"10 must attend data science, ml and ai conferences in 2018",220
1338,ml optimization using cognitive assistant,135
1314,healthcare python streaming application demo,155
732,rapidly build machine learning flows with dsx,160
299,brunel in jupyter,30
1360,pixieapp for outlier detection,163
1364,predicting churn with the spss random tree algorithm,135
1320,housing (2015): united states demographic measures,131
382,what is text analytics?,226
1254,country statistics: stock of broad money,145
1293,finding optimal locations of new store using decision optimization,176
1164,analyze open data sets with pandas dataframes,145
930,how to use version control (github) in rstudio within dsx?,144
353,sparklyr — r interface for apache spark,155
353,sparklyr — r interface for apache spark,149
1330,insights from new york car accident reports,227
237,deep learning with data science experience,145
1338,ml optimization using cognitive assistant,209
1336,learn basics about notebooks and apache spark,158
880,probabilistic graphical models tutorial — part 1 – stats and bots,228
173,"10 must attend data science, ml and ai conferences in 2018",200
645,how to perform a logistic regression in r,155
1328,income (2015): united states demographic measures,168
1171,"apache spark lab, part 2: querying data",132
651,analyzing streaming data from kafka topics,195
1320,housing (2015): united states demographic measures,229
221,how smart catalogs can turn the big data flood into an ocean of opportunity,230
1304,gosales transactions for logistic regression model,161
1330,insights from new york car accident reports,147
202,analyze open data sets using pandas in a python notebook,138
362,dsx: hybrid mode,67
1330,insights from new york car accident reports,227
517,shaping data with ibm data refinery,23
1330,insights from new york car accident reports,171
1338,ml optimization using cognitive assistant,230
1320,housing (2015): united states demographic measures,131
1338,ml optimization using cognitive assistant,135
855,enjoy python 3.5 in jupyter notebooks,192
1320,housing (2015): united states demographic measures,131
1330,insights from new york car accident reports,231
1185,classify tumors with machine learning,136
1336,learn basics about notebooks and apache spark,181
173,"10 must attend data science, ml and ai conferences in 2018",232
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",170
583,the million dollar question: where is my data?,233
437,ibm watson machine learning: get started,154
651,analyzing streaming data from kafka topics,195
1160,analyze accident reports on amazon emr spark,171
1336,learn basics about notebooks and apache spark,113
336,challenges in deep learning,233
1184,"city population by sex, city and city type",158
1360,pixieapp for outlier detection,21
43,deep learning with tensorflow course by big data university,207
1328,income (2015): united states demographic measures,131
1042,use ibm data science experience to read and write data stored on amazon s3,183
508,data science in the cloud,145
1320,housing (2015): united states demographic measures,187
173,"10 must attend data science, ml and ai conferences in 2018",234
485,a moving average trading strategy,67
1431,visualize car data with brunel,235
1293,finding optimal locations of new store using decision optimization,164
930,how to use version control (github) in rstudio within dsx?,216
1320,housing (2015): united states demographic measures,165
1364,predicting churn with the spss random tree algorithm,73
173,"10 must attend data science, ml and ai conferences in 2018",236
679,this week in data science,45
1330,insights from new york car accident reports,64
1428,use decision optimization to schedule league games,135
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",187
1330,insights from new york car accident reports,32
295,awesome deep learning papers,45
1427,"use xgboost, scikit-learn & ibm watson machine learning apis",187
1404,uci: forest fires,157
316,"leverage python, scikit, and text classification for behavioral profiling",226
764,tidy data in python,192
865,analyze traffic data from the city of san francisco,229
1276,deploy your python model as a restful api,237
1165,analyze precipitation data,191
1164,analyze open data sets with pandas dataframes,204
651,analyzing streaming data from kafka topics,195
651,analyzing streaming data from kafka topics,98
855,enjoy python 3.5 in jupyter notebooks,192
124,python machine learning: scikit-learn tutorial,135
732,rapidly build machine learning flows with dsx,219
1276,deploy your python model as a restful api,22
1338,ml optimization using cognitive assistant,238
1328,income (2015): united states demographic measures,239
1430,"using pixiedust for fast, flexible, and easier data analysis and experimentation",52
1394,the nurse assignment problem data,239
1349,"mobile-cellular telephone subscriptions per 100 inhabitants, worldwide",240
1170,"apache spark lab, part 1: basic concepts",189
